"ds-dex-table-row href","ds-dex-table-row-badge-pair-no","ds-dex-table-row-dex-icon src","ds-dex-table-row-token-icon-img src","ds-dex-table-row-badge","ds-dex-table-row-base-token-symbol","ds-dex-table-row-quote-token-symbol","ds-dex-table-row-base-token-name-text","ds-table-data-cell","ds-table-data-cell 2","ds-table-data-cell 3","ds-table-data-cell 4","ds-table-data-cell 5","ds-change-perc","ds-change-perc 2","ds-change-perc 3","ds-change-perc 4","ds-table-data-cell 6","ds-table-data-cell 7","ds-table-empty-val","chakra-text","chakra-text 2"
"https://dexscreener.com/pulsechain/0x03250e1f707e9fb1cd41b8c2696c0e8eab5b42de","#1","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/af1d0aee448e13796f326ec6ceb40f004d060864ebf9c1e436e9b2981ff97ab7?width=64&height=64&fit=crop&quality=95&format=auto","v1","PCOCK","WPLS","PulseChain Peacock","$0.01995","5mo","4,322","$112K","1,178","2.03%","1.24%","3.67%","17.40%","$225K","$16.8M","","",""
"https://dexscreener.com/pulsechain/0x34243b6878cb49530b2b647f38aa26623dab2509","#2","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/52b3a9f79e1f3c4ba2d7cb05617e10d8b94d6a2ad7b9eb922c9852b458e3932b?width=64&height=64&fit=crop&quality=95&format=auto","v2","stETH","WPLS","Liquid staked Ether 2.0","$0.01187","2y","6,218","$112K","1,300","","-3.92%","34.90%","36.53%","$88K","$2.2M","-","",""
"https://dexscreener.com/pulsechain/0xf1f4ee610b2babb05c635f726ef8b0c568c8dc65","#3","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/84a9562c3b7fb9c77486a7d267bd4dea495e19a9c1bcc14923ada2d8f3f271b5?width=64&height=64&fit=crop&quality=95&format=auto","v1","HEX","WPLS","HEX","$0.003011","2y","1,829","$145K","932","3.57%","3.56%","6.48%","6.82%","$1.0M","$1.78B","","",""
"https://dexscreener.com/pulsechain/0x1b45b9148791d3a104184cd5dfe5ce57193a3ee9","#4","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/38f4b2e53fe707a17ea8171c01dc4d6ceda344b6a352fe248a151c8a80bd59b8?width=64&height=64&fit=crop&quality=95&format=auto","v1","PLSX","WPLS","PulseX","","2y","2,129","$244K","955","1.30%","2.00%","5.24%","7.27%","$3.6M","$1.86B","","$0.01302","4"
"https://dexscreener.com/pulsechain/0xcb99800b71b7fb0696d19c3aaaa20c03d2d7e449","#5","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/af1d0aee448e13796f326ec6ceb40f004d060864ebf9c1e436e9b2981ff97ab7?width=64&height=64&fit=crop&quality=95&format=auto","v2","PCOCK","WPLS","PulseChain Peacock","$0.01953","5mo","7,266","$261K","1,486","","-0.86%","0.97%","15.02%","$468K","$16.5M","-","",""
"https://dexscreener.com/pulsechain/0xf808bb6265e9ca27002c0a04562bf50d4fe37eaa","#6","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/7b95c3c8cc915f0c09d268a02433efbf321d7b62689deec6ac802975526d1d3b?width=64&height=64&fit=crop&quality=95&format=auto","v1","INC","WPLS","Incentive","$0.6563","2y","1,834","$122K","892","2.14%","3.07%","5.80%","7.64%","$1.4M","$36.5M","","",""
"https://dexscreener.com/pulsechain/0x31ef9a41500e6bd18524404ac9c5b88d04aa924e","#7","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/8b729370cc0269ea7f3e108c0c6524e50ef950cc0af33a524cf245c336477230?width=64&height=64&fit=crop&quality=95&format=auto","v2","TEDDY BEAR ㉾","WPLS","BEAR","","2y","3,242","$50K","1,017","-0.26%","0.01%","2.30%","20.88%","$65K","$5.5M","","$0.05554","8"
"https://dexscreener.com/pulsechain/0xf5a89a6487d62df5308cdda89c566c5b5ef94c11","#8","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/4636eb57478e1dad2a850550a424202b155cf97df90e840db41fc151eb1be5c6?width=64&height=64&fit=crop&quality=95&format=auto","v1","pTGC","WPLS","The Grays Currency","$0.0001438","2y","97","$22K","80","-0.24%","1.09%","5.23%","7.07%","$792K","$41.7M","","",""
"https://dexscreener.com/pulsechain/0x19bb45a7270177e303dee6eaa6f5ad700812ba98","#9","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/84a9562c3b7fb9c77486a7d267bd4dea495e19a9c1bcc14923ada2d8f3f271b5?width=64&height=64&fit=crop&quality=95&format=auto","v2","HEX","WPLS","HEX","$0.003008","2y","2,074","$111K","932","3.54%","3.48%","6.40%","6.97%","$952K","$1.78B","","",""
"https://dexscreener.com/pulsechain/0x908b5490414518981ce5c473ff120a6b338fef67","#10","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/a4ab7371e4cfbf8b0a1c20d7ab22860aafa08bd10a72438d3dd31f5cc3e52b51?width=64&height=64&fit=crop&quality=95&format=auto","v2","MOST","WPLS","MostWanted","$0.006156","11mo","1,805","$40K","664","-0.21%","0.23%","1.05%","2.02%","$185K","$6.1M","","",""
